TRI Facility Name,TRI Facility ID,Year,Census Tract,3-Mile Population,Under Age 5 Percentile,Over Age 64 Percentile,Unemployment Rate Percentile,Limited English Speaking Percentile,Less Than High School Education Percentile,ZIP Code,Street Address,City,County,Latitude,Longitude,Chemical,Industry Sector,NAICS Code,Parent Company,Releases (lb),Air Releases (lb),Water Releases (lb),Land Releases (lb),Off-Site Releases (lb),Waste Managed (lb),RSEI Hazard,Number of Source Reduction Activities
HURON CASTING INC,48755HRNCSPOBOX,2024,26063950700,"1,632",80,78,29,0,38,48755,7050 HARTLEY ST,"PIGEON, MI","HURON, MI",43.82661291,-83.26230233,Manganese compounds (N450),331 Primary Metals,331513 Steel Foundries (except Investment),HURON CASTING INC,"164,916.50",104.50,0.00,0.00,"164,812.00","164,916.50","1,978,998,000",0
AJAX METAL PROCESSING INC,48207JXMTL4651B,2024,26163519200,"102,022",77,10,97,0,44,48207,4651 BELLEVUE AVE,"DETROIT, MI","WAYNE, MI",42.36922867,-83.02213289,Zinc compounds (N982),332 Fabricated Metals,"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring",AJAX METAL PROCESSING INC,"163,137.56",0.00,0.00,0.00,"163,137.56","163,137.56","16,258,389",0
BILLERUD QUINNESEC,49876CHMPNUSHIG,2024,26043950300,"5,480",46,23,42,0,18,49876,W 6791 US HWY 2,"QUINNESEC, MI","DICKINSON, MI",45.80204895,-87.95895733,Manganese compounds (N450),322 Paper,322110 Pulp Mills,BILLERUD AMERICAS CORP,"162,152.00",165.30,"40,488.40","121,498.30",0.00,"162,152.00","3,133,706",0
EES COKE BATTERY LLC,48218SCKBT14ZUG,2024,26163985600,"69,556",0,0,0,0,0,48218,1400 ZUG ISLAND,"RIVER ROUGE, MI","WAYNE, MI",42.28876642,-83.11282517,Benzene (71-43-2),324 Petroleum Products,324199 All Other Petroleum and Coal Products Manufacturing,DTE ENERGY CO,"161,400.00","161,300.00",0.00,0.00,100.00,"1,780,100.00","4,521,900,000",0
THE DOW CHEMICAL CO,48667THDWCMICHI,2024,26111290600,"25,530",74,14,85,0,68,48667,1790 BUILDING,"MIDLAND, MI","MIDLAND, MI",43.6095201,-84.2393991,Ammonia (7664-41-7),325 Chemicals,325211 Plastics Material and Resin Manufacturing,DOW INC,"153,200.00","152,000.00","1,200.00",0.00,0.00,"230,713.00","1,064,000",0
ILLINOIS TOOL WORKS CODING PRODUCTS DIV,49646CDNGP111WP,2024,26079950300,"3,860",57,34,52,0,70,49646,111 W PARK DR,"KALKASKA, MI","KALKASKA, MI",44.73313981,-85.16830383,Toluene (108-88-3),322 Paper,322220 Paper Bag and Coated Treated Paper Manufacturing,ILLINOIS TOOL WORKS INC,"150,030.00","69,172.00",0.00,0.00,"80,858.00","195,973.00","1,099,574",0
BILLERUD QUINNESEC,49876CHMPNUSHIG,2024,26043950300,"5,480",46,23,42,0,18,49876,W 6791 US HWY 2,"QUINNESEC, MI","DICKINSON, MI",45.80204895,-87.95895733,Methanol (67-56-1),322 Paper,322110 Pulp Mills,BILLERUD AMERICAS CORP,"147,826.00","99,668.00","48,019.00",139.00,0.00,"7,319,080.00","66,098",0
VENTRA IONIA MAIN LLC,48846MRCNB14NOR,2024,26067031700,"10,724",39,39,25,0,57,48846,14 N BEARDSLEY RD,"IONIA, MI","IONIA, MI",42.98536297,-85.03008498,Nitrate compounds (water dissociable) (N511),336 Transportation Equipment,336390 Other Motor Vehicle Parts Manufacturing,FLEX-N-GATE CORP,"145,993.00",0.00,0.00,0.00,"145,993.00","146,373.00","91,976",0
PHARMACIA & UPJOHN CO LLC A SUBSIDIARY OF PFIZER INC,49001THPJH7171P,2024,26077001905,"31,983",66,12,0,69,34,49002,7171 PORTAGE RD,"PORTAGE, MI","KALAMAZOO, MI",42.21133108,-85.55988021,"N,N-Dimethylformamide (68-12-2)",325 Chemicals,325412 Pharmaceutical Preparation Manufacturing,PFIZER INC,"140,240.00",240.00,0.00,"140,000.00",0.00,"3,410,660.00","1,428,800",0
"BLUE DIAMOND STEEL CASTING,INC.",4841WBLDMN125ST,2024,26063950700,"1,631",68,53,76,0,31,48755,125 STURM RD.,"PIGEON, MI","HURON, MI",43.83113645,-83.25960173,Manganese compounds (N450),331 Primary Metals,331513 Steel Foundries (except Investment),HURON CASTING INC,"138,358.67",87.67,0.00,0.00,"138,271.00","138,358.67","1,660,304,040",0
